date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2
2021-01-07 16:53:10,16774,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0107t163137-o16774_v01-2021m1205t231646.nc, 3333,  85, 1.07, 1.31, 0.27,120, 1.01, 0.50, 47
2021-01-09 17:56:42,16803,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0109t173508-o16803_v01-2021m1206t041812.nc, 3269, 384, 1.42, 1.81, 0.34,118, 1.46, 0.69, 34
2021-01-10 17:37:43,16817,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0110t171609-o16817_v01-2021m1206t053109.nc, 3273, 309, 0.99, 1.03, 0.32, 83, 1.00, 0.53,  3
2021-01-21 17:32:01,16973,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0121t171026-o16973_v01-2021m1206t234302.nc, 3231, 276, 1.04, 0.67, 0.04, 47, 0.63, 0.12, 29
2021-01-22 17:13:03,16987,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0122t165128-o16987_v01-2021m1207t014050.nc, 3245, 168, 1.26, 1.40, 0.11, 95, 1.35, 0.32, 22
2021-01-30 16:22:54,17100,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0130t160120-o17100_v01-2022m0101t235254.nc, 3289,  13, 1.23, 0.99, 0.35, 88, 0.82, 0.28, 27
2021-01-30 18:04:24,17101,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0130t174250-o17101_v01-2022m0101t235048.nc, 3172, 401, 1.53, 0.74, 0.07, 53, 0.73, 0.18, 15
2021-02-04 16:29:41,17171,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0204t160806-o17171_v01-2021m1207t183418.nc, 3244,  26, 1.13, 1.68, 0.26,105, 1.68, 0.62,  6
2021-02-21 17:53:51,17413,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0221t173216-o17413_v01-2021m1222t232546.nc, 3019, 363, 1.00, 1.10, 0.14,114, 0.91, 0.41, 31
2021-03-02 16:45:03,17540,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0302t162329-o17540_v01-2021m1223t154747.nc, 3025,  50, 1.06, 1.61, 0.29,107, 1.13, 0.50, 21
2021-03-03 16:26:08,17554,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0303t160434-o17554_v01-2021m1223t182227.nc, 3054,  13, 0.47, 0.95, 0.06, 62, 0.95, 0.31, 25
2021-03-03 18:07:38,17555,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0303t174604-o17555_v01-2021m1223t182325.nc, 2937, 401, 0.87, 1.00, 0.11, 59, 1.00, 0.26,  6
2021-03-05 17:29:48,17583,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0305t170814-o17583_v01-2021m1223t220241.nc, 2937, 240, 1.12, 1.40, 0.08, 60, 1.40, 0.22,  7
2021-03-08 16:33:03,17625,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0308t161129-o17625_v01-2021m1224t041734.nc, 2999,  26, 0.29, 1.92, 0.27,125, 1.65, 0.56, 15
2021-03-08 18:14:33,17626,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m0308t175259-o17626_v01-2021m1224t041734.nc, 2895, 415, 0.82, 2.31, 0.35,127, 2.26, 0.86,  7
