date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2022-01-06 18:09:46,21939,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0106t174811-o21939_v01-2022m0622t160605.nc, 3278, 414, 2.16, 1.87, 0.30, 63, 1.87, 0.30,  1,1.50,0.06
2022-01-07 17:50:46,21953,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0107t172912-o21953_v01-2022m0623t061353.nc, 3278, 362, 1.21, 1.62, 0.50,127, 1.02, 0.42, 28,1.02,0.09
2022-01-11 16:34:50,22009,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0111t161316-o22009_v01-2022m0623t114943.nc, 3355,  36, 0.84, 1.38, 0.15,118, 0.95, 0.33, 38,1.07,0.06
2022-01-11 18:16:21,22010,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0111t175446-o22010_v01-2022m0623t114852.nc, 3263, 426, 1.52, 0.88, 0.18, 80, 0.80, 0.13, 27,1.07,0.06
2022-01-12 17:57:21,22024,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0112t173548-o22024_v01-2022m0623t205854.nc, 3261, 383, 1.39, 0.70, 0.02, 40, 0.70, 0.09, 18,1.29,0.06
2022-01-22 16:29:12,22165,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0122t160737-o22165_v01-2022m0624t210402.nc, 3321,  26, 1.30, 0.56, 0.01, 40, 0.56, 0.11, 54,0.91,0.03
2022-01-22 18:10:41,22166,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0122t174907-o22166_v01-2022m0624t214313.nc, 3217, 414, 1.42, 0.67, 0.08, 64, 0.62, 0.15, 45,1.03,0.03
2022-01-24 17:32:48,22194,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0124t171113-o22194_v01-2022m0625t004910.nc, 3217, 275, 1.10, 0.78, 0.09, 73, 0.73, 0.17, 20,0.92,0.09
2022-01-26 16:54:52,22222,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0126t163318-o22222_v01-2022m0625t061305.nc, 3253,  84, 0.63, 0.77, 0.01, 40, 0.77, 0.09, 59,1.11,0.05
2022-01-27 16:35:56,22236,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0127t161421-o22236_v01-2022m0625t074409.nc, 3281,  37, 0.97, 0.65, 0.09, 57, 0.60, 0.07, 60,1.01,0.05
