Orbit,AOCH532,TAU532
 32224,  1.13,  0.16
 32225,  1.11,  0.19
 32239,  0.80,  0.06
 32253,  0.95,  0.06
 32267,  1.03,  0.11
 32281,  1.06,  0.05
 32295,  1.36,  0.10
 32296,  1.12,  0.11
 32309,  0.95,  0.09
 32310,  1.02,  0.10
 32324,  0.85,  0.10
 32338,  1.15,  0.21
 32352,  1.07,  0.13
 32366,  0.89,  0.06
 32380,  0.91,  0.05
 32381,  1.10,  0.05
 32395,  1.13,  0.10
 32409,  1.34,  0.11
 32423,  1.41,  0.29
 32437,  0.74,  0.58
 32451,  1.13,  0.04
 32452,  1.23,  0.04
 32466,  1.53,  0.05
 32480,  0.77,  0.32
 32494,  1.30,  0.08
 32508,  0.80,  0.07
 32522,  0.97,  0.04
 32523,  1.14,  0.05
 32536,  1.58,  0.09
 32537,  1.64,  0.10
 32551,  0.91,  0.12
 32579,  1.05,  0.06
 32593,  0.83,  0.11
 32607,  0.75,  0.10
 32608,  0.72,  0.11
 32622,  0.88,  0.07
 32650,  0.99,  0.13
 32664,  0.81,  0.07
 32678,  0.95,  0.28
 32679,  0.93,  0.22
 32693,  0.84,  0.04
 32707,  0.96,  0.05
 32721,  0.92,  0.06
 32735,  1.08,  0.05
 32749,  0.94,  0.07
 32750,  1.02,  0.08
 32763,  1.23,  0.06
 32764,  1.42,  0.06
 32778,  1.03,  0.09
 32792,  1.24,  0.10
 32806,  1.17,  0.19
 32820,  0.87,  0.29
 32834,  0.90,  0.13
 32835,  0.92,  0.10
 32849,  1.05,  0.10
 32863,  1.72,  0.11
 32877,  1.54,  0.12
 32891,  0.85,  0.09
 32905,  1.23,  0.04
 32906,  1.22,  0.05
 32920,  1.71,  0.15
 32934,  1.21,  0.11
 32948,  1.39,  0.11
 32962,  1.52,  0.20
 32976,  0.82,  0.40
 32977,  0.85,  0.35
 32990,  1.42,  0.20
 32991,  1.58,  0.22
 33005,  4.33,  0.12
 33019,  1.65,  0.20
 33033,  1.31,  0.22
 33047,  1.52,  0.22
 33061,  1.53,  0.06
 33062,  1.58,  0.06
 33076,  1.59,  0.10
 33090,  0.82,  0.13
 33104,  0.98,  0.16
 33118,  1.10,  0.13
 33132,  0.68,  0.11
 33133,  0.75,  0.13
 33147,  0.98,  0.11
 33161,  1.42,  0.09
 33175,  2.37,  0.10
 33189,  0.89,  0.20
 33203,  1.58,  0.08
 33204,  1.67,  0.11
 33217,  2.08,  0.08
 33218,  1.83,  0.09
 33232,  1.59,  0.11
 33246,  2.28,  0.18
 33260,  1.67,  0.16
 33274,  1.29,  0.16
 33288,  0.98,  0.13
 33289,  1.14,  0.13
 33303,  1.47,  0.09
 33317,  1.48,  0.11
 33331,  2.06,  0.10
 33345,  1.43,  0.16
 33359,  1.41,  0.13
 33360,  1.44,  0.19
 33374,  1.74,  0.29
 33388,  1.65,  0.13
 33402,  1.82,  0.08
 33416,  1.49,  0.10
 33430,  1.50,  0.15
 33431,  1.41,  0.16
 33444,  0.83,  0.33
 33445,  0.83,  0.38
 33459,  1.26,  0.29
 33473,  1.37,  0.12
 33487,  1.83,  0.21
 33501,  1.53,  0.22
 33515,  0.89,  0.49
 33516,  0.76,  0.59
 33530,  1.05,  0.74
 33544,  1.68,  0.18
 33558,  1.47,  0.13
 33572,  1.28,  0.16
 33586,  1.21,  0.09
 33587,  1.45,  0.09
 33601,  1.98,  0.09
 33615,  2.17,  0.10
 33629,  1.49,  0.23
 33643,  1.53,  0.18
 33657,  1.98,  0.17
 33658,  1.63,  0.22
 33671,  1.42,  0.16
 33672,  1.57,  0.17
 33686,  1.39,  0.10
 33700,  1.78,  0.18
 33714,  1.55,  0.26
 33728,  1.75,  0.14
 33742,  1.83,  0.28
 33743,  1.76,  0.23
 33757,  1.45,  0.18
 33771,  1.20,  0.23
 33785,  2.61,  0.14
 33799,  2.31,  0.27
 33813,  1.97,  0.11
 33814,  2.02,  0.11
 33828,  1.74,  0.15
 33842,  1.65,  0.14
 33856,  1.44,  0.28
 33870,  1.89,  0.15
 33884,  1.74,  0.37
 33885,  1.66,  0.39
 33898,  1.69,  0.21
 33899,  1.69,  0.22
 33913,  1.74,  0.16
 33927,  2.06,  0.17
 33941,  1.62,  0.12
 33955,  2.05,  0.11
 33969,  1.62,  0.36
 33970,  1.60,  0.30
 33984,  1.47,  0.34
 33998,  1.85,  0.16
 34012,  2.32,  0.28
 34026,  1.73,  0.13
 34040,  1.74,  0.16
 34041,  1.89,  0.16
 34055,  2.00,  0.32
 34069,  1.04,  0.30
 34083,  1.97,  0.13
 34097,  1.23,  0.30
 34111,  1.43,  0.14
 34112,  1.49,  0.14
 34125,  1.86,  0.24
 34126,  2.06,  0.33
 34140,  1.34,  0.15
 34154,  1.96,  0.09
 34168,  1.70,  0.22
 34182,  1.20,  0.21
 34196,  0.95,  0.44
 34197,  1.05,  0.55
 34211,  1.15,  0.23
 34225,  1.22,  0.12
 34239,  1.93,  0.30
 34253,  1.09,  0.50
 34267,  1.71,  0.24
 34268,  1.65,  0.25
 34282,  1.55,  0.32
 34296,  1.52,  0.18
 34310,  1.66,  0.28
 34324,  1.64,  0.19
 34338,  1.84,  0.18
 34339,  1.66,  0.25
 34352,  1.61,  0.10
 34353,  1.57,  0.10
 34367,  1.85,  0.10
 34381,  1.96,  0.14
 34395,  1.66,  0.19
 34409,  1.40,  0.24
 34423,  1.35,  0.17
 34424,  1.45,  0.17
 34438,  1.69,  0.22
 34452,  1.61,  0.18
 34466,  1.57,  0.14
 34480,  1.62,  0.09
 34494,  1.28,  0.28
 34495,  1.27,  0.23
 34509,  1.53,  0.16
 34523,  1.52,  0.14
 34537,  1.57,  0.16
 34551,  1.28,  0.27
 34565,  1.69,  0.18
 34566,  1.70,  0.21
 34579,  1.59,  0.10
 34580,  1.69,  0.12
 34594,  1.95,  0.17
 34608,  1.47,  0.24
 34622,  1.37,  0.25
 34636,  1.97,  0.13
 34650,  1.48,  0.16
 34651,  1.43,  0.19
 34665,  1.49,  0.14
 34679,  1.64,  0.36
 34693,  1.65,  0.21
 34707,  1.89,  0.09
 34721,  1.95,  0.12
 34722,  2.05,  0.12
 34736,  1.80,  0.20
 34750,  1.63,  0.11
 34764,  1.42,  0.17
 34778,  1.38,  0.24
 34792,  1.40,  0.26
 34793,  1.29,  0.22
 34806,  1.48,  0.10
 34807,  1.56,  0.10
 34821,  1.47,  0.16
 34835,  1.58,  0.14
 34849,  1.43,  0.32
 34863,  1.46,  0.20
 34877,  1.66,  0.15
 34878,  1.72,  0.16
 34892,  1.66,  0.17
 34906,  1.75,  0.22
 34920,  1.40,  0.36
 34934,  1.46,  0.14
 34948,  1.62,  0.09
 34949,  1.68,  0.10
