File generated by Rfunction: Gera.fluxnew.yy.func1 
 TimeStamp at the begining of period
 version 1: Block average, density(WPL) corrections,and flow rotation
 yy jday hhdec(GMT) alfa(deg) beta(deg)  u(m/s) v(m/s) w(m/s)  H(W/m2) LE(W/m2) ustr(m/s)  wco2(mg/m2/s) MOL(m)
2011 182 0 153.2 7.3 1.64 0 0 300.86 -9999.9 -9999.9 0.22 -9999.9 -9999.9
2011 182 0.5 184 1.9 0.95 0 0 300.05 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 182 1 324.2 8.7 0.38 0 0 298.93 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 182 1.5 158.8 19.2 0.1 0 0 298.85 -9999.9 -9999.9 0.04 -9999.9 -9999.9
2011 182 2 194.8 2.8 0.57 0 0 298.62 -9999.9 -9999.9 0.02 -9999.9 -9999.9
2011 182 2.5 208.1 1.7 1.27 0 0 297.71 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 182 3 226.3 2.6 1.29 0 0 297.2 -9999.9 -9999.9 0.08 -9999.9 -9999.9
2011 182 3.5 197.7 0.9 1.14 0 0 296.89 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 182 4 231.6 7.5 0.65 0 0 296.33 -9999.9 -9999.9 0.08 -9999.9 -9999.9
2011 182 4.5 276.1 10.9 0.69 0 0 295.38 -9999.9 -9999.9 0.02 -9999.9 -9999.9
2011 182 5 347.6 4.8 0.65 0 0 295.25 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 182 5.5 352.1 9.2 0.66 0 0 295.24 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 182 6 66.4 16.6 0.6 0 0 293.9 -9999.9 -9999.9 0.07 -9999.9 -9999.9
2011 182 6.5 108.2 9.7 0.5 0 0 294.94 -9999.9 -9999.9 0.03 -9999.9 -9999.9
2011 182 7 100.4 8.3 0.44 0 0 293.88 -9999.9 -9999.9 0.07 -9999.9 -9999.9
2011 182 7.5 50.9 11.3 0.96 0 0 294.16 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 182 8 109.5 8.4 1.02 0 0 294.02 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 182 8.5 145.4 7.7 1.06 0 0 294.22 -9999.9 -9999.9 0.01 -9999.9 -9999.9
2011 182 9 274.3 8.5 0.86 0 0 294.28 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 182 9.5 248.9 4.1 1.19 0 0 294.62 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 182 10 286.8 9.4 1.66 0 0 294.47 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 182 10.5 299.3 8.6 2.02 0 0 294.89 -9999.9 -9999.9 0.14 -9999.9 -9999.9
2011 182 11 317.9 11.1 1.85 0 0 295.36 -9999.9 -9999.9 0.29 -9999.9 -9999.9
2011 182 11.5 311.6 9.2 1.82 0 0 295.81 -9999.9 -9999.9 0.27 -9999.9 -9999.9
2011 182 12 336.6 9.8 1.37 0 0 296.51 -9999.9 -9999.9 0.25 -9999.9 -9999.9
2011 182 12.5 354.1 5.3 1.62 0 0 297.02 -9999.9 -9999.9 0.31 -9999.9 -9999.9
2011 182 13 334 3.7 1.55 0 0 297.82 -9999.9 -9999.9 0.27 -9999.9 -9999.9
2011 182 13.5 353.1 3.4 0.99 0 0 298.6 -9999.9 -9999.9 0.32 -9999.9 -9999.9
2011 182 14 352.7 2.4 1.16 0 0 299.34 -9999.9 -9999.9 0.3 -9999.9 -9999.9
2011 182 14.5 272.9 8.2 1.71 0 0 299.88 -9999.9 -9999.9 0.47 -9999.9 -9999.9
2011 182 15 342.9 6.2 2.27 0 0 300.07 -9999.9 -9999.9 0.55 -9999.9 -9999.9
2011 182 15.5 251.5 1.3 1.69 0 0 300.49 -9999.9 -9999.9 0.33 -9999.9 -9999.9
2011 182 16 326.2 13.7 1.98 0 0 300.88 -9999.9 -9999.9 0.45 -9999.9 -9999.9
2011 182 16.5 354.1 3.9 1.78 0 0 301.09 -9999.9 -9999.9 0.33 -9999.9 -9999.9
2011 182 17 337.3 1.5 2.1 0 0 301.39 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 182 17.5 344.1 13.5 1.48 0 0 301.71 -9999.9 -9999.9 0.43 -9999.9 -9999.9
2011 182 18 200.8 5 1.06 0 0 302.16 -9999.9 -9999.9 0.36 -9999.9 -9999.9
2011 182 18.5 197.3 7.5 1.75 0 0 302.4 -9999.9 -9999.9 0.44 -9999.9 -9999.9
2011 182 19 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9
2011 182 19.5 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9 -9999.9
