#Name                 Lat   Lon     YYYY-MM-DDTHH:mm:ss  Altitude
26PA-LOBSTICK         53.0  -106.2  2026-05-28T20:30:00  13.06
26PA-LOBSTICK         53.0  -106.3  2026-05-30T00:00:00  10.351
MB-WE21               55.4  -100.5  2026-06-01T23:40:00  11.156
MB-WE24               54.8  -99.5   2026-06-02T22:30:00  10.03
Russia                59.4   90.3   2026-06-14T05:30:00  10.947
Cottonwood            38.4  -112.4  2026-06-23T19:40:00  Y
2026_NT_FS008-26      63.7  -123.2  2026-06-24T21:00:00  Y
2026_NT_VQ029-26      64.2  -125.3  2026-06-26T00:30:00  Y
2026_MB_MB-NO050      56.7  -101.0  2026-06-26T17:50:00  Y
2026_MB_MB-NO027      55.7  -99.1   2026-06-26T18:10:00  Y
2026_MB_MB-NO028      55.5  -98.8   2026-06-26T18:10:00  Y
2026_MB_MB-NO127      57.6  -98.0   2026-06-26T18:10:00  Y
2026_MB_MB-NO028      55.5  -98.8   2026-06-26T19:00:00  Y
Aspen_Acres           38.1  -105.1  2026-07-01T23:20:00  10.465
Ferris                37.8  -108.7  2026-07-03T21:09:00  10.395
2026_NT_FS016-26      61.8  -121.3  2026-07-04T20:30:00  10.216
2026_NT_FS016-26      61.9  -121.6  2026-07-04T21:40:00  10.061
Ferris                37.8  -108.7  2026-07-06T19:25:00  10.609
Babylon               37.9  -109.6  2026-07-06T20:45:00  13.382
2026_BC_2026-V10742   50.0  -121.4  2026-07-07T21:00:00  11.408
2026_ON_THU_FIRE_038  50.8  -89.8   2026-07-13T22:40:00  14.089
2026_ON_THU_FIRE_045  51.0  -89.3   2026-07-13T22:40:00  13.0
2026_ON_THU_FIRE_050  50.5  -89.3   2026-07-14T05:00:00  10.958
2026_NT_ZF017_26      63.7  -119.5  2026-07-14T23:10:00  12.118
F026_26               62.1  -120.9  2026-07-16T23:20:00  11.673
2026_C40897           51.3  -121.7  2026-07-17T21:30:00  11.394
FS046_26              63.2  -120.9  2026-07-19T04:30:00  10.923
2026_BC_2026_C50927   52.74  -125.3 2026-07-22T00:20:00  Y
