#Name        Lat   Lon     YYYY-MM-DDTHH:mm:ss  Altitude
Wildcat      46.9  -121.4  2025-08-31T21:20:00  9.563
Mine_Creek   49.72 -121.1  2025-09-02T00:30:00  10.815
Beef_Trail   52.65 -125.6  2025-09-02T01:40:00  10.504
Itcha_Lake   53.0  -125.0  2025-09-02T03:00:00  11.670
Mount_Wilson 50.3  -123.6  2025-09-02T03:50:00  10.363
Itcha_Lake   53.0  -125.0  2025-09-03T21:00:00  Y
Itcha_Lake   53.0  -125.0  2025-09-02T21:00:00  Y
Mount_Wilson 50.3  -123.6  2025-09-03T21:00:00  Y
Mount_Wilson 50.3  -123.6  2025-09-02T21:00:00  Y
Wildcat      46.9  -121.4  2025-09-03T21:00:00  Y
Wildcat      46.9  -121.4  2025-09-02T21:00:00  Y
Flat         43.42 -122.3  2025-09-03T21:00:00  Y
Flat         43.42 -122.3  2025-09-02T21:00:00  Y
Rattlesnake  47.88 -118.4  2025-09-03T21:00:00  Y
Rattlesnake  47.88 -118.4  2025-09-02T21:00:00  Y
Dillon       41.56 -123.6  2025-09-03T21:00:00  Y
Dillon       41.56 -123.6  2025-09-02T21:00:00  Y
