name,lon,lat
p0001,126.500000,32.500000
p0002,126.543307,32.535433
p0003,126.586614,32.570866
p0004,126.629921,32.606299
p0005,126.673228,32.641732
p0006,126.716535,32.677165
p0007,126.759843,32.712598
p0008,126.803150,32.748031
p0009,126.846457,32.783465
p0010,126.889764,32.818898
p0011,126.933071,32.854331
p0012,126.976378,32.889764
p0013,127.019685,32.925197
p0014,127.062992,32.960630
p0015,127.106299,32.996063
p0016,127.149606,33.031496
p0017,127.192913,33.066929
p0018,127.236220,33.102362
p0019,127.279528,33.137795
p0020,127.322835,33.173228
p0021,127.366142,33.208661
p0022,127.409449,33.244094
p0023,127.452756,33.279528
p0024,127.496063,33.314961
p0025,127.539370,33.350394
p0026,127.582677,33.385827
p0027,127.625984,33.421260
p0028,127.669291,33.456693
p0029,127.712598,33.492126
p0030,127.755906,33.527559
p0031,127.799213,33.562992
p0032,127.842520,33.598425
p0033,127.885827,33.633858
p0034,127.929134,33.669291
p0035,127.972441,33.704724
p0036,128.015748,33.740157
p0037,128.059055,33.775591
p0038,128.102362,33.811024
p0039,128.145669,33.846457
p0040,128.188976,33.881890
p0041,128.232283,33.917323
p0042,128.275591,33.952756
p0043,128.318898,33.988189
p0044,128.362205,34.023622
p0045,128.405512,34.059055
p0046,128.448819,34.094488
p0047,128.492126,34.129921
p0048,128.535433,34.165354
p0049,128.578740,34.200787
p0050,128.622047,34.236220
p0051,128.665354,34.271654
p0052,128.708661,34.307087
p0053,128.751969,34.342520
p0054,128.795276,34.377953
p0055,128.838583,34.413386
p0056,128.881890,34.448819
p0057,128.925197,34.484252
p0058,128.968504,34.519685
p0059,129.011811,34.555118
p0060,129.055118,34.590551
p0061,129.098425,34.625984
p0062,129.141732,34.661417
p0063,129.185039,34.696850
p0064,129.228346,34.732283
p0065,129.271654,34.767717
p0066,129.314961,34.803150
p0067,129.358268,34.838583
p0068,129.401575,34.874016
p0069,129.444882,34.909449
p0070,129.488189,34.944882
p0071,129.531496,34.980315
p0072,129.574803,35.015748
p0073,129.618110,35.051181
p0074,129.661417,35.086614
p0075,129.704724,35.122047
p0076,129.748031,35.157480
p0077,129.791339,35.192913
p0078,129.834646,35.228346
p0079,129.877953,35.263780
p0080,129.921260,35.299213
p0081,129.964567,35.334646
p0082,130.007874,35.370079
p0083,130.051181,35.405512
p0084,130.094488,35.440945
p0085,130.137795,35.476378
p0086,130.181102,35.511811
p0087,130.224409,35.547244
p0088,130.267717,35.582677
p0089,130.311024,35.618110
p0090,130.354331,35.653543
p0091,130.397638,35.688976
p0092,130.440945,35.724409
p0093,130.484252,35.759843
p0094,130.527559,35.795276
p0095,130.570866,35.830709
p0096,130.614173,35.866142
p0097,130.657480,35.901575
p0098,130.700787,35.937008
p0099,130.744094,35.972441
p0100,130.787402,36.007874
p0101,130.830709,36.043307
p0102,130.874016,36.078740
p0103,130.917323,36.114173
p0104,130.960630,36.149606
p0105,131.003937,36.185039
p0106,131.047244,36.220472
p0107,131.090551,36.255906
p0108,131.133858,36.291339
p0109,131.177165,36.326772
p0110,131.220472,36.362205
p0111,131.263780,36.397638
p0112,131.307087,36.433071
p0113,131.350394,36.468504
p0114,131.393701,36.503937
p0115,131.437008,36.539370
p0116,131.480315,36.574803
p0117,131.523622,36.610236
p0118,131.566929,36.645669
p0119,131.610236,36.681102
p0120,131.653543,36.716535
p0121,131.696850,36.751969
p0122,131.740157,36.787402
p0123,131.783465,36.822835
p0124,131.826772,36.858268
p0125,131.870079,36.893701
p0126,131.913386,36.929134
p0127,131.956693,36.964567
p0128,132.000000,37.000000
