PE [Pa]   TE [K]  ZE [m]
0.5373   214.266666667   84000.0
0.6435   214.533333333   83000.0
0.7707   214.8   82000.0
0.923   215.066666667   81000.0
1.105   215.333333333   80000.0
1.324   215.6   79000.0
1.585   215.866666667   78000.0
1.899   216.133333333   77000.0
2.274   216.4   76000.0
2.723   216.666666667   75000.0
3.262   216.933333333   74000.0
3.906   217.2   73000.0
4.678   217.466666667   72000.0
5.603   217.733333333   71000.0
6.71   218.0   70000.0
7.661   220.9   69000.0
8.747   223.8   68000.0
9.987   226.7   67000.0
11.4   229.6   66000.0
13.02   232.5   65000.0
14.86   235.4   64000.0
16.97   238.3   63000.0
19.38   241.2   62000.0
22.12   244.1   61000.0
25.26   247.0   60000.0
28.84   249.9   59000.0
32.93   252.8   58000.0
37.6   255.7   57000.0
42.93   258.6   56000.0
49.01   261.5   55000.0
55.96   264.4   54000.0
63.89   267.3   53000.0
72.95   270.2   52000.0
83.29   273.1   51000.0
95.1   276.0   50000.0
107.6   274.92   49000.0
121.7   273.84   48000.0
137.6   272.76   47000.0
155.6   271.68   46000.0
176.0   270.6   45000.0
199.9   268.08   44000.0
227.1   265.56   43000.0
258.0   263.04   42000.0
293.1   260.52   41000.0
333.0   258.0   40000.0
380.9   255.4   39000.0
435.7   252.8   38000.0
498.3   250.2   37000.0
570.0   247.6   36000.0
652.0   245.0   35000.0
750.8   242.8   34000.0
864.5   240.6   33000.0
995.5   238.4   32000.0
1146.0   236.2   31000.0
1320.0   234.0   30000.0
1531.0   232.0   29000.0
1776.0   230.0   28000.0
2059.0   228.0   27000.0
2388.0   226.0   26000.0
2770.0   224.0   25000.0
3220.0   223.0   24000.0
3760.0   222.0   23000.0
4370.0   220.0   22000.0
5100.0   219.0   21000.0
5950.0   218.0   20000.0
6950.0   217.0   19000.0
8120.0   216.0   18000.0
9500.0   216.0   17000.0
11100.0   216.0   16000.0
13000.0   216.0   15000.0
15300.0   216.0   14000.0
17900.0   216.0   13000.0
20900.0   222.0   12000.0
24300.0   229.0   11000.0
28100.0   235.0   10000.0
32400.0   242.0   9000.0
37200.0   248.0   8000.0
42600.0   255.0   7000.0
48700.0   261.0   6000.0
55400.0   267.0   5000.0
62800.0   273.0   4000.0
71000.0   279.0   3000.0
80200.0   285.0   2000.0
90200.0   290.0   1000.0
101300.0   294.0   0.0
